Date,flow (cfs),ACC_FLOW_7,ACC_FLOW_14,ACC_FLOW_30,ACC_FLOW_40,ACC_FLOW_50,ACC_FLOW_60,ACC_FLOW_70,ACC_FLOW_80,ACC_FLOW_90,ACC_FLOW_180,ACC_FLOW_365
10/5/2000,8170,51230,79850,149790,171990,209920,278780,322040,336985,349278,563817,2005127
10/6/2000,7290,53000,85120,153370,178690,210120,281470,327280,343605,356128,568907,1982997
10/7/2000,6410,53950,89740,155280,184660,210700,282960,330760,349465,362178,573457,1962287
10/8/2000,5460,53880,93290,155920,189820,211390,283240,332850,354055,367338,577377,1942597
10/9/2000,3370,52000,94660,155390,194010,212370,282330,333870,357685,371578,580467,1923657
10/10/2000,2760,47610,93290,152600,196150,212440,279240,332940,359425,373868,581357,1904327
10/11/2000,2230,42010,90680,149210,196770,212700,275540,331500,360745,375675,581517,1886187
10/12/2000,1830,35690,86920,145410,195910,212920,270350,329370,361725,376845,581057,1869517
10/13/2000,1590,29350,82350,141620,194310,212880,264220,326490,362385,377495,580147,1854447
10/14/2000,1460,23650,77600,138320,192490,212770,257480,323050,362980,377745,578567,1840937
10/15/2000,1380,18700,72580,135770,190360,212560,250490,319350,362610,377555,576417,1829197
10/16/2000,1310,14620,66620,133870,187150,212470,243900,315250,361060,377385,573807,1818877
10/17/2000,1230,12560,60170,132660,183080,212460,238500,310760,358560,377265,570637,1808887
10/18/2000,1170,11030,53040,131910,178540,212440,234010,305860,355470,376675,566737,1795617
10/19/2000,1130,9970,45660,131180,173720,212340,230700,300660,352200,376015,562377,1778587
10/20/2000,1100,9270,38620,129570,168690,212240,228530,295330,349030,375515,557927,1758617
10/21/2000,1070,8780,32430,127740,163640,211200,227130,289970,345930,375175,553437,1736917
10/22/2000,1020,8390,27090,125910,158680,209180,226190,283620,342640,374995,548967,1714587
10/23/2000,1020,8030,22650,124260,154080,206770,225340,276680,338950,374845,544527,1691807
